backend,case_name,device_id,dst_blocks,dst_pattern,fragment_bytes,gbps,iters,mean_ms,num_pages,p50_ms,p90_ms,p95_ms,p99_ms,returncode,selected_blocks,src_pattern,status,useful_mib,warmup
mapped-host gather op,fragment_size_sweep,0,1024,random,128,5.01,3,0.026,4096,0.022,0.032,0.034,0.035,0,1024,random,pass,0.12,1
aclrtMemcpyAsync/page,fragment_size_sweep,0,1024,random,128,0.0,3,28.999,4096,29.067,29.43,29.476,29.512,0,1024,random,pass,0.12,1
aclrtMemcpyAsync/contig,fragment_size_sweep,0,1024,random,128,1.0,3,0.131,4096,0.056,0.24,0.264,0.282,0,1024,random,pass,0.12,1
HBM gather op,fragment_size_sweep,0,1024,random,128,5.96,3,0.022,4096,0.017,0.029,0.03,0.031,0,1024,random,pass,0.12,1
mapped-host gather op,fragment_size_sweep,0,1024,random,512,8.95,3,0.059,4096,0.056,0.064,0.065,0.066,0,1024,random,pass,0.5,1
aclrtMemcpyAsync/page,fragment_size_sweep,0,1024,random,512,0.02,3,31.731,4096,31.353,32.964,33.166,33.327,0,1024,random,pass,0.5,1
aclrtMemcpyAsync/contig,fragment_size_sweep,0,1024,random,512,6.94,3,0.076,4096,0.072,0.081,0.082,0.083,0,1024,random,pass,0.5,1
HBM gather op,fragment_size_sweep,0,1024,random,512,29.09,3,0.018,4096,0.017,0.02,0.02,0.02,0,1024,random,pass,0.5,1
mapped-host gather op,fragment_size_sweep,0,1024,random,1024,9.57,3,0.11,4096,0.113,0.113,0.113,0.113,0,1024,random,pass,1.0,1
aclrtMemcpyAsync/page,fragment_size_sweep,0,1024,random,1024,0.05,3,23.09,4096,19.051,28.839,30.062,31.041,0,1024,random,pass,1.0,1
aclrtMemcpyAsync/contig,fragment_size_sweep,0,1024,random,1024,0.11,3,9.722,4096,11.109,15.834,16.425,16.897,0,1024,random,pass,1.0,1
HBM gather op,fragment_size_sweep,0,1024,random,1024,58.73,3,0.018,4096,0.017,0.019,0.02,0.02,0,1024,random,pass,1.0,1
mapped-host gather op,fragment_size_sweep,0,1024,random,4096,10.64,3,0.394,4096,0.39,0.401,0.402,0.403,0,1024,random,pass,4.0,1
aclrtMemcpyAsync/page,fragment_size_sweep,0,1024,random,4096,0.09,3,47.18,4096,47.155,47.432,47.467,47.495,0,1024,random,pass,4.0,1
aclrtMemcpyAsync/contig,fragment_size_sweep,0,1024,random,4096,0.46,3,9.034,4096,8.15,10.841,11.178,11.447,0,1024,random,pass,4.0,1
